Country,Continent,Rank
Afghanistan,Asia,143
Albania,Europe,51
Algeria,Africa,100
Angola,Africa,144
Argentina,South America,77
Armenia,Europe,57
Australia,Oceania,25
Austria,Europe,14
Azerbaijan,Europe,70
Bahamas,North America,76
Bahrain,Asia,47
Bangladesh,Asia,129
Barbados,North America,55
Belarus,Europe,27
Belgium,Europe,6
Belize,North America,91
Benin,Africa,148
Bhutan,Asia,99
Bolivia (Plurinational State of),South America,101
Bosnia and Herzegovina,Europe,38
Botswana,Africa,111
Brazil,South America,89
Brunei Darussalam,Asia,51
Bulgaria,Europe,48
Burkina Faso,Africa,147
Burundi,Africa,124
C̫te d'Ivoire,Africa,157
Cabo Verde,Africa,83
Cambodia,Asia,114
Cameroon,Africa,140
Canada,North America,18
Central African Republic,Africa,159
Chad,Africa,160
Chile,South America,62
China,Asia,39
Colombia,South America,94
Congo,Africa,145
Congo (Democratic Republic of the),Africa,156
Costa Rica,North America,61
Croatia,Europe,31
Cuba,North America,67
Cyprus,Europe,20
Czechia,Europe,35
Denmark,Europe,2
Dominican Republic,North America,104
Ecuador,South America,90
Egypt,Africa,102
El Salvador,North America,92
Estonia,Europe,21
Eswatini (Kingdom of),Africa,145
Ethiopia,Africa,123
Fiji,Oceania,78
Finland,Europe,7
France,Europe,8
Gabon,Africa,128
Gambia,Africa,150
Georgia,Europe,75
Germany,Europe,19
Ghana,Africa,133
Greece,Europe,31
Guatemala,North America,118
Guyana,South America,118
Haiti,North America,150
Honduras,North America,116
Hungary,Europe,56
Iceland,Europe,9
India,Asia,122
Indonesia,Asia,103
Iran (Islamic Republic of),Asia,118
Iraq,Asia,131
Ireland,Europe,22
Israel,Asia,24
Italy,Europe,12
Jamaica,North America,93
Japan,Asia,23
Jordan,Asia,113
Kazakhstan,Europe,46
Kenya,Africa,134
Korea (Republic of),Asia,10
Kuwait,Asia,53
Kyrgyzstan,Asia,87
Lao People's Democratic Republic,Asia,110
Latvia,Europe,40
Lebanon,Asia,79
Lesotho,Africa,135
Liberia,Africa,155
Libya,Africa,41
Lithuania,Europe,33
Luxembourg,Europe,16
Malawi,Africa,149
Malaysia,Asia,58
Maldives,Asia,81
Mali,Africa,158
Malta,Europe,44
Mauritania,Africa,150
Mauritius,Africa,82
Mexico,North America,74
Moldova (Republic of),Europe,50
Mongolia,Asia,71
Montenegro,Europe,27
Morocco,Africa,118
Mozambique,Africa,142
Myanmar,Asia,106
Namibia,Africa,108
Nepal,Asia,115
Netherlands,Europe,4
New Zealand,Oceania,34
Nicaragua,North America,105
Niger,Africa,154
North Macedonia,Europe,36
Norway,Europe,5
Oman,Asia,65
Pakistan,Asia,136
Panama,North America,108
Papua New Guinea,Oceania,161
Paraguay,South America,117
Peru,South America,87
Philippines,Asia,98
Poland,Europe,30
Portugal,Europe,17
Qatar,Asia,45
Romania,Europe,69
Russian Federation,Europe,54
Rwanda,Africa,95
Saint Lucia,North America,73
Samoa,Oceania,80
Sao Tome and Principe,Africa,136
Saudi Arabia,Asia,49
Senegal,Africa,125
Serbia,Europe,37
Sierra Leone,Africa,153
Singapore,Asia,11
Slovakia,Europe,43
Slovenia,Europe,12
South Africa,Africa,97
Spain,Europe,15
Sri Lanka,Asia,86
Sudan,Africa,139
Suriname,South America,112
Sweden,Europe,2
Switzerland,Europe,1
Syrian Arab Republic,Asia,136
Tajikistan,Asia,84
Tanzania (United Republic of),Africa,130
Thailand,Asia,84
Togo,Africa,140
Tonga,Oceania,96
Trinidad and Tobago,North America,72
Tunisia,Africa,63
Turkey,Europe,66
Uganda,Africa,127
Ukraine,Europe,60
United Arab Emirates,Asia,26
United Kingdom,Europe,27
United States,North America,42
Uruguay,South America,59
Uzbekistan,Asia,64
Venezuela (Bolivarian Republic of),South America,106
Viet Nam,Asia,68
Yemen,Asia,162
Zambia,Africa,131
Zimbabwe,Africa,126
